"URL | Name"|"# of 
locations"|States
"http://supermarketpage.com/supermarkets/Right-Way-Foods-20264.htm | Right Way Foods"|13|FL|
"http://supermarketpage.com/supermarkets/Roche-Bros-23458.htm | Roche Bros"|16|MA|
"http://supermarketpage.com/supermarkets/Rosauers-Supermarket-9392.htm | Rosauers Supermarket"|11|ID, OR, WA|
"http://supermarketpage.com/supermarkets/Rosco-Supermarket-18907.htm | Rosco Supermarket"|2|CA|
"http://supermarketpage.com/supermarkets/Rouses-Supermarket-2344.htm | Rouse's Supermarket"|15|LA, MS|
"http://supermarketpage.com/supermarkets/Rowes-Supermarkets-21029.htm | Rowes Supermarkets"|4|FL|
"http://supermarketpage.com/supermarkets/Run-In-Foods-18984.htm | Run In Foods"|5|NC|
"http://supermarketpage.com/supermarkets/Rush-Hour-Foods-1873.htm | Rush Hour Foods"|4|IN, TX|
"http://supermarketpage.com/supermarkets/Sack-N-Save-Foods-16127.htm | Sack N Save Foods"|7|HI, OH|
"http://supermarketpage.com/supermarkets/Safeway-4530.htm | Safeway"|1074|AK, AZ, CA, CO, DC, DE, FL, HI, ID, IN, MD, MO, MT, NE, NM, NV, NY, OR, PA, SC, SD, TX, VA, WA, WY|
"http://supermarketpage.com/supermarkets/Sams-Club-4102.htm | Sam's Club"|31|CA, CT, FL, GA, IL, IN, LA, MI, MO, MS, NC, OH, SC, TX, WI, WV|
"http://supermarketpage.com/supermarkets/Sav-A-Lot-12727.htm | Sav A Lot"|2|FL, IL|
"http://supermarketpage.com/supermarkets/Save-A-Lot-23386.htm | Save A Lot"|396|AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, WA, WI, WV|
"http://supermarketpage.com/supermarkets/Save-Mart-Supermarket-20832.htm | Save Mart Supermarket"|122|AR, CA, NV, NY, OH, TX|
"http://supermarketpage.com/supermarkets/Saveland-Supermarket-4722.htm | Saveland Supermarket"|4|FL, MI|
"http://supermarketpage.com/supermarkets/SaveRite-Grocery-Warehouse-6795.htm | SaveRite Grocery Warehouse"|1|FL|
"http://supermarketpage.com/supermarkets/Saverite-Grocery-Warehouse-6809.htm | Saverite Grocery Warehouse"|1||
"http://supermarketpage.com/supermarkets/Saveway-Foods-4215.htm | Saveway Foods"|5|CA, IL, OH, WV|
"http://supermarketpage.com/supermarkets/Schnuck-Markets-20764.htm | Schnuck Markets"|108|IL, IN, MO, MS, TN|
"http://supermarketpage.com/supermarkets/Schratter-Foods-3447.htm | Schratter Foods"|8|CA, FL, NJ, TX|
"http://supermarketpage.com/supermarkets/Schreiber-Food-Inc.-22171.htm | Schreiber Food Inc."|32|AZ, CO, GA, KY, MO, NC, NJ, PA, RI, TN, TX, UT, WA, WI|
"http://supermarketpage.com/supermarkets/Schwans-Fine-Food-20669.htm | Schwan's Fine Food"|128|AL, AR, AZ, CA, CO, DE, FL, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, NE, NM, NV, NY, OH, OK, PA, SC, TN, TX, VA, WA, WI, WV, WY|
"http://supermarketpage.com/supermarkets/Scolaris-Food-Drug-Co.-17147.htm | Scolaris Food & Drug Co."|4|CA, NV|
"http://supermarketpage.com/supermarkets/Scotts-Foods-3136.htm | Scotts Foods"|12|IA, IN|
"http://supermarketpage.com/supermarkets/Seabra-Supermarkets-6404.htm | Seabra Supermarkets"|9|MA, NJ, RI|
"http://supermarketpage.com/supermarkets/Seafood-City-Supermarket-19952.htm | Seafood City Supermarket"|8|CA|
"http://supermarketpage.com/supermarkets/Seafood-City-Supermarkets-14402.htm | Seafood City Supermarkets"|1||
"http://supermarketpage.com/supermarkets/Sedanos-Supermarket-22895.htm | Sedanos Supermarket"|28|FL|
"http://supermarketpage.com/supermarkets/Selecto-Supermarket-12025.htm | Selecto Supermarket"|2|NJ|
"http://supermarketpage.com/supermarkets/Seneca-Foods-22220.htm | Seneca Foods"|27|FL, ID, MN, NY, WA, WI|
"http://supermarketpage.com/supermarkets/Sentry-Foods-22204.htm | Sentry Foods"|20|GA, IL, VA, WI|
"http://supermarketpage.com/supermarkets/Shamrock-Foods-17396.htm | Shamrock Foods"|15|AZ, CO, MA, NJ, NM|
"http://supermarketpage.com/supermarkets/Shaws-Osco-6407.htm | Shaw's Osco"|29|CT, MA, ME, NH, RI|
"http://supermarketpage.com/supermarkets/Shaws-17665.htm | Shaws"|184|CA, CT, MA, ME, NH, RI, VT|
"http://supermarketpage.com/supermarkets/Sherwood-Foods-8008.htm | Sherwood Foods"|6|IL, MI, OH, VA|
"http://supermarketpage.com/supermarkets/Shop-and-Go-3440.htm | Shop and Go"|4|AR, CA, NY, TX|
"http://supermarketpage.com/supermarkets/Shop-N-Save-4197.htm | Shop N Save"|117|AL, AZ, CA, CO, FL, IA, IL, ME, MI, MO, MS, NC, OH, PA, TX, WV|
"http://supermarketpage.com/supermarkets/Shop-Rite-21686.htm | Shop Rite"|3|NY|
"http://supermarketpage.com/supermarkets/Shop-Smart-17385.htm | Shop Smart"|7||
"http://supermarketpage.com/supermarkets/Shoppers-Food-19103.htm | Shoppers Food"|60|DC, DE, MD, VA|
"http://supermarketpage.com/supermarkets/Shoprite-2025.htm | Shoprite"|129|CA, CT, DE, FL, GA, IL, KY, NJ, NY, OH, PA|
"http://supermarketpage.com/supermarkets/Shore-Stop-Food-Stores-11720.htm | Shore Stop Food Stores"|7|DE|
"http://supermarketpage.com/supermarkets/Sigma-Foods-17588.htm | Sigma Foods"|19|AZ, CA, CO, FL, GA, NV, TX, UT|
"http://supermarketpage.com/supermarkets/Smart-Final-13705.htm | Smart & Final"|158|AZ, CA, FL, NV|
"http://supermarketpage.com/supermarkets/Smithfield-Food-16165.htm | Smithfield Food"|8|MA, NY, OK, VA|
"http://supermarketpage.com/supermarkets/Smiths-Food-Drug-Centers-20881.htm | Smiths Food & Drug Centers"|145|AZ, CA, ID, IN, MT, NC, NM, NV, UT, WY|
"http://supermarketpage.com/supermarkets/Snappy-Foods-6269.htm | Snappy Foods"|14|GA, TX|
"http://supermarketpage.com/supermarkets/Southern-Family-Foods-13553.htm | Southern Family Foods"|7|AL, GA, MS|
"http://supermarketpage.com/supermarkets/Sparkle-Super-Markets-5569.htm | Sparkle Super Markets"|7|OH|
"http://supermarketpage.com/supermarkets/Spee-D-Foods-11561.htm | Spee D Foods"|12|GA, OH|
"http://supermarketpage.com/supermarkets/Sprint-Foods-14346.htm | Sprint Foods"|9|GA|
"http://supermarketpage.com/supermarkets/Spruce-Foods-22668.htm | Spruce Foods"|2|CA|
"http://supermarketpage.com/supermarkets/Star-Market-9911.htm | Star Market"|27|HI, MA, NV, NY|
"http://supermarketpage.com/supermarkets/Stater-Bros-22780.htm | Stater Bros"|120|CA|
"http://supermarketpage.com/supermarkets/Stop-GO-22434.htm | Stop & GO"|15|CT, FL, MA, NY, OH, TX|
"http://supermarketpage.com/supermarkets/Stop-Save-20074.htm | Stop & Save"|2|CA, CT|
"http://supermarketpage.com/supermarkets/Stop-Shop-11797.htm | Stop & Shop"|663|AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VT, WA, WI|
"http://supermarketpage.com/supermarkets/Stop-1-Supermarket-15461.htm | Stop 1 Supermarket"|4|MA, NJ, NY|
"http://supermarketpage.com/supermarkets/Stop-Market-6367.htm | Stop Market"|2|CA, RI|
"http://supermarketpage.com/supermarkets/Stop-N-Save-3481.htm | Stop N Save"|8|CA, MA, TX|
"http://supermarketpage.com/supermarkets/Stop-One-Grocery-17383.htm | Stop One Grocery"|8|CT, NJ, NY|
"http://supermarketpage.com/supermarkets/Store-24-11721.htm | Store 24"|3|MA, NH|
"http://supermarketpage.com/supermarkets/Streetmans-Supermarket-11225.htm | Streetmans Supermarket"|9|OK|
"http://supermarketpage.com/supermarkets/Stremicks-Heritage-Foods-21192.htm | Stremicks Heritage Foods"|3|CA|
"http://supermarketpage.com/supermarkets/Stripes-11194.htm | Stripes"|6|OK|
"http://supermarketpage.com/supermarkets/Sturm-Foods-Inc-22184.htm | Sturm Foods Inc"|2|WI|
"http://supermarketpage.com/supermarkets/Sugar-Creek-Stores-11284.htm | Sugar Creek Stores"|7|NY|
"http://supermarketpage.com/supermarkets/Sullivans-Foods-9698.htm | Sullivans Foods"|16|IA, IL, OH|
"http://supermarketpage.com/supermarkets/Summer-Fresh-Supermarket-7652.htm | Summer Fresh Supermarket"|7|MO|
"http://supermarketpage.com/supermarkets/Sun-Hop-Fat-1-Supermarket-9445.htm | Sun Hop Fat 1 Supermarket"|3|CA|
"http://supermarketpage.com/supermarkets/Sun-Market-9058.htm | Sun Market"|3|DC, MA|
"http://supermarketpage.com/supermarkets/Sun-Mart-Foods-6479.htm | Sun Mart Foods"|4|NE|
"http://supermarketpage.com/supermarkets/Sun-Sang-Supermarket-9462.htm | Sun Sang Supermarket"|2|CA|
"http://supermarketpage.com/supermarkets/Sun-Valley-Foods-17127.htm | Sun Valley Foods"|3|ID, MI, NV|
"http://supermarketpage.com/supermarkets/Sunbelt-Foods-6266.htm | Sunbelt Foods"|2|GA, TX|
"http://supermarketpage.com/supermarkets/Sunbelt-Natural-Foods-6952.htm | Sunbelt Natural Foods"|3|FL|
"http://supermarketpage.com/supermarkets/Sundance-Natural-Foods-10382.htm | Sundance Natural Foods"|3|CA, OR|
"http://supermarketpage.com/supermarkets/Sunflower-Farmers-Market-13771.htm | Sunflower Farmers Market"|3|AZ, NV|
"http://supermarketpage.com/supermarkets/Sunflower-Natural-Foods-17600.htm | Sunflower Natural Foods"|6|CA, CO, IN, OH, VT|
"http://supermarketpage.com/supermarkets/Sunflower-Natural-Foods-Market-19443.htm | Sunflower Natural Foods Market"|1|NY|
"http://supermarketpage.com/supermarkets/Sunflower-Supermarket-13534.htm | Sunflower Supermarket"|2|MS|
"http://supermarketpage.com/supermarkets/Sunland-Foods-5345.htm | Sunland Foods"|2|FL|
"http://supermarketpage.com/supermarkets/Sunmart-3412.htm | Sunmart"|9|MN, ND, NE, TX|
"http://supermarketpage.com/supermarkets/Sunny-Food-Store-14604.htm | Sunny Food Store"|7|AL, NY, TX|
"http://supermarketpage.com/supermarkets/Sunny-Fresh-16438.htm | Sunny Fresh"|5|IA, MI, MN|
"http://supermarketpage.com/supermarkets/Sunny-Groceries-7302.htm | Sunny Groceries"|2|MD|
"http://supermarketpage.com/supermarkets/Sunny-Ridge-Supermarket-983.htm | Sunny Ridge Supermarket"|1|CT|
"http://supermarketpage.com/supermarkets/Sunrise-Food-7536.htm | Sunrise Food"|14|CA, FL, MI, NJ, NY, OH, TX, WI|
"http://supermarketpage.com/supermarkets/Sunrise-Natural-Foods-17367.htm | Sunrise Natural Foods"|5|CA, MN, NY|
"http://supermarketpage.com/supermarkets/Sunrise-Natural-Foods-Inc-10712.htm | Sunrise Natural Foods Inc"|1|FL|
"http://supermarketpage.com/supermarkets/Sunset-Foods-8952.htm | Sunset Foods"|3|IL, NM|
"http://supermarketpage.com/supermarkets/Sunshine-Fine-Foods-9636.htm | Sunshine Fine Foods"|2|OH|
"http://supermarketpage.com/supermarkets/Sunshine-Foods-7529.htm | Sunshine Foods"|21|CA, CT, FL, IA, IL, MI, MN, NY, PA, SD, WI|
"http://supermarketpage.com/supermarkets/Sunshine-Market-6377.htm | Sunshine Market"|4|CA, MA, MO, RI|
"http://supermarketpage.com/supermarkets/Sunshine-Natural-Foods-22549.htm | Sunshine Natural Foods"|4|IA, OR, TX|
"http://supermarketpage.com/supermarkets/Sunshine-Supermarket-3169.htm | Sunshine Supermarket"|4|FL, NY, VA, WI|
"http://supermarketpage.com/supermarkets/Sunshine-Supermarkets-19707.htm | Sunshine Supermarkets"|1|FL|
"http://supermarketpage.com/supermarkets/Super-1-Foods-9387.htm | Super 1 Foods"|42|AR, ID, LA, MT, OR, TX, WA|
"http://supermarketpage.com/supermarkets/Super-A-Foods-3475.htm | Super A Foods"|15|CA, TX|
"http://supermarketpage.com/supermarkets/Super-Bargain-10749.htm | Super Bargain"|4|CA|
"http://supermarketpage.com/supermarkets/Super-Bear-Supermarket-21108.htm | Super Bear Supermarket"|2|AK|
"http://supermarketpage.com/supermarkets/Super-Food-22885.htm | Super Food"|2|FL|
"http://supermarketpage.com/supermarkets/Super-Food-Store-19164.htm | Super Food Store"|4|GA, TX|
"http://supermarketpage.com/supermarkets/Super-Fresh-21757.htm | Super Fresh"|48|DC, DE, IL, MD, MN, NJ, PA, TX|
"http://supermarketpage.com/supermarkets/Super-K-Food-Store-14611.htm | Super K Food Store"|3|CA, FL, TX|
"http://supermarketpage.com/supermarkets/Super-One-Foods-14779.htm | Super One Foods"|18|LA, MI, MN, ND, WA, WI|
"http://supermarketpage.com/supermarkets/Super-S-Foods-23036.htm | Super S Foods"|38|TX|
"http://supermarketpage.com/supermarkets/Super-Target-3501.htm | Super Target"|6|GA, IA, IL, LA, TX|
"http://supermarketpage.com/supermarkets/Superfresh-12284.htm | Superfresh"|6|MD, NJ, PA|
"http://supermarketpage.com/supermarkets/Superior-Market-17394.htm | Superior Market"|9|NY|
"http://supermarketpage.com/supermarkets/Superior-Supermarket-15184.htm | Superior Supermarket"|6|CT, NC, NJ, NY|
"http://supermarketpage.com/supermarkets/Supervalu-4172.htm | Supervalu"|22|AL, CA, GA, IL, MN, MS, MT, ND, NJ, NM, OH, PA, WA, WI, WV|
"http://supermarketpage.com/supermarkets/Supervalue-9595.htm | Supervalue"|1|OH|
"http://supermarketpage.com/supermarkets/Sure-Winner-Foods-11567.htm | Sure Winner Foods"|7|MA, ME, NH|
"http://supermarketpage.com/supermarkets/Sweetbay-Supermarket-22653.htm | Sweetbay Supermarket"|89|FL|
"http://supermarketpage.com/supermarkets/Tawa-Supermarket-13655.htm | Tawa Supermarket"|9|CA, NV|
"http://supermarketpage.com/supermarkets/Tedeschi-Food-Shops-17297.htm | Tedeschi Food Shops"|26|MA|
"http://supermarketpage.com/supermarkets/Terrys-Supermarket-23279.htm | Terry's Supermarket"|7|TX|
"http://supermarketpage.com/supermarkets/Terrys-Supermarket-23295.htm | Terrys Supermarket"|2||
"http://supermarketpage.com/supermarkets/Thriftway-3351.htm | Thriftway"|23|CA, FL, GA, IA, KS, ME, MN, MO, NM, NY, OH, PA, TX, VA|
"http://supermarketpage.com/supermarkets/Times-Super-Market-18217.htm | Times Super Market"|15|HI|
"http://supermarketpage.com/supermarkets/Tops-Friendly-Markets-8119.htm | Tops Friendly Markets"|33|NY, OH|
"http://supermarketpage.com/supermarkets/Tops-Market-14876.htm | Tops Market"|32|NY|
"http://supermarketpage.com/supermarkets/Town-Country-7552.htm | Town & Country"|40|AR, GA, KS, KY, MI, MO, MT, VA, WI|
"http://supermarketpage.com/supermarkets/Trade-Fair-15458.htm | Trade Fair"|12|NY|
"http://supermarketpage.com/supermarkets/Trader-Joes-12346.htm | Trader Joe's"|39|CA, CT, MA, MI, MO, NV, NY, OH|
"http://supermarketpage.com/supermarkets/Tradewinds-Marketplace-9121.htm | Tradewinds Marketplace"|3|ME|
"http://supermarketpage.com/supermarkets/Tropical-Supermarket-3663.htm | Tropical Supermarket"|11|FL, MD|
"http://supermarketpage.com/supermarkets/Turkey-Hill-Mini-Market-22166.htm | Turkey Hill Mini Market"|184|PA|
"http://supermarketpage.com/supermarkets/Twin-City-Foods-9389.htm | Twin City Foods"|16|ID, MI, NJ, WA|
"http://supermarketpage.com/supermarkets/U-Save-Super-Markets-20246.htm | U Save Super Markets"|8|FL|
"http://supermarketpage.com/supermarkets/Ukrops-Super-Market-17967.htm | Ukrops Super Market"|36|TX, VA|
"http://supermarketpage.com/supermarkets/Ultra-Foods-18661.htm | Ultra Food's"|1|IL|
"http://supermarketpage.com/supermarkets/Ultra-Foods-2298.htm | Ultra Foods"|11|IN|
"http://supermarketpage.com/supermarkets/United-Supermarket-23202.htm | United Supermarket"|75|IL, OK, TX|
"http://supermarketpage.com/supermarkets/Vallarta-Supermarket-9850.htm | Vallarta Supermarket"|26|CA, MI|
"http://supermarketpage.com/supermarkets/Vons-20406.htm | Vons"|255|CA, MD, MI, NV, NY, SC, TN|
"http://supermarketpage.com/supermarkets/Wal-Mart-Supercenter-4528.htm | Wal-Mart Supercenter"|2592|AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY|
"http://supermarketpage.com/supermarkets/Waldbaums-23399.htm | Waldbaums"|69|NY|
"http://supermarketpage.com/supermarkets/Wawa-Food-Markets-17968.htm | Wawa Food Markets"|529|DE, MD, NJ, PA, VA|
"http://supermarketpage.com/supermarkets/Wayfield-Foods-16967.htm | Wayfield Foods"|14|GA|
"http://supermarketpage.com/supermarkets/Wegmans-13917.htm | Wegmans"|93|MD, NJ, NY, PA, VA|
"http://supermarketpage.com/supermarkets/Weis-Markets-4206.htm | Weis Markets"|105|CA, CT, MD, NJ, PA, VA, WV|
"http://supermarketpage.com/supermarkets/Wesselmans-Supermarket-18329.htm | Wesselmans Supermarket"|11|IN|
"http://supermarketpage.com/supermarkets/Western-Supermarket-10004.htm | Western Supermarket"|14|AL, IL, IN, NY|
"http://supermarketpage.com/supermarkets/Westfarm-Foods-1282.htm | Westfarm Foods"|6|CA, ID, OR, WA|
"http://supermarketpage.com/supermarkets/White-Hen-Pantry-11488.htm | White Hen Pantry"|14|MA, NH|
"http://supermarketpage.com/supermarkets/White-Market-17647.htm | White Market"|5|VT|
"http://supermarketpage.com/supermarkets/Whites-Fresh-Foods-3339.htm | Whites Fresh Foods"|13|TN, VA|
"http://supermarketpage.com/supermarkets/Whole-Foods-Market-4507.htm | Whole Foods Market"|68|AZ, CA, CO, CT, FL, GA, IL, IN, KS, MA, MD, MI, MN, NC, NV, NY, OH, OK, OR, PA, TX, VA, WA, WY|
"http://supermarketpage.com/supermarkets/Winco-12416.htm | Winco"|14|CA, OR|
"http://supermarketpage.com/supermarkets/Winn-Dixie-17905.htm | Winn Dixie"|608|AL, FL, GA, KY, LA, MS, NC, OK, SC, TN, TX, VA|
