"URL | Name"|"# of 
locations"|States
"http://supermarketpage.com/supermarkets/Big-Y-Foods-10949.htm | Big Y Foods"|65|KY, MA|
"http://supermarketpage.com/supermarkets/Bil-Mar-Foods-23252.htm | Bil Mar Foods"|5|IA, TX|
"http://supermarketpage.com/supermarkets/Bill-Eileens-Market-19900.htm | Bill & Eileen's Market"|1|NJ|
"http://supermarketpage.com/supermarkets/Bill-Sons-Super-Market-1213.htm | Bill & Sons Super Market"|1|AL|
"http://supermarketpage.com/supermarkets/Bill-Martin-Foods-12445.htm | Bill Martin Foods"|3|TN|
"http://supermarketpage.com/supermarkets/Bills-Family-Foods-13288.htm | Bills Family Foods"|2|IA|
"http://supermarketpage.com/supermarkets/Bills-Shursave-Supermarket-10940.htm | Bills Shursave Supermarket"|4|PA|
"http://supermarketpage.com/supermarkets/Bills-Super-Market-11333.htm | Bills Super Market"|1|TX|
"http://supermarketpage.com/supermarkets/Billys-Quick-Stop-Farmers-Market-13565.htm | Billys Quick Stop & Farmers Market"|1|MS|
"http://supermarketpage.com/supermarkets/BJs-Wholesale-Club-17934.htm | BJ's Wholesale Club"|130|CT, DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, OH, OK, PA, RI, TN, VA|
"http://supermarketpage.com/supermarkets/Boardman-Foods-9305.htm | Boardman Foods"|5|OR, WA|
"http://supermarketpage.com/supermarkets/Bravo-Supermarket-6355.htm | Bravo Supermarket"|53|CT, FL, NJ, NY, PA, RI|
"http://supermarketpage.com/supermarkets/Breaux-Mart-Supermarket-8890.htm | Breaux Mart Supermarket"|9|LA|
"http://supermarketpage.com/supermarkets/Brookshire-Brothers-23310.htm | Brookshire Brothers"|112|AR, LA, MS, TX|
"http://supermarketpage.com/supermarkets/Brookville-Supermarket-3671.htm | Brookville Supermarket"|2|DC, MD|
"http://supermarketpage.com/supermarkets/Brothers-Supermarket-23403.htm | Brothers Supermarket"|9|FL, MA, MI, NJ|
"http://supermarketpage.com/supermarkets/Broughton-Foods-4198.htm | Broughton Foods"|11|OH, WV|
"http://supermarketpage.com/supermarkets/Broulims-Supermarket-17225.htm | Broulims Supermarket"|7|ID|
"http://supermarketpage.com/supermarkets/Broussards-Supermarket-Inc-1286.htm | Broussards Supermarket Inc"|4|LA, WA|
"http://supermarketpage.com/supermarkets/Bruce-Foods-Corporation-21752.htm | Bruce Foods Corporation"|4|LA, NC, TX|
"http://supermarketpage.com/supermarkets/Buche-Foods-11631.htm | Buche Foods"|3|SD|
"http://supermarketpage.com/supermarkets/Buehlers-Buy-Low-Supermarkets-18262.htm | Buehler's Buy-Low Supermarkets"|2|IN|
"http://supermarketpage.com/supermarkets/Bunge-Foods-17527.htm | Bunge Foods"|7|CA, IL, UT|
"http://supermarketpage.com/supermarkets/Buschs-Family-Supermarket-16076.htm | Buschs Family Supermarket"|4|MI|
"http://supermarketpage.com/supermarkets/Butera-Finer-Foods-19579.htm | Butera Finer Foods"|5|IL|
"http://supermarketpage.com/supermarkets/Buy-Rite-Foods-14524.htm | Buy Rite Foods"|2|FL, IA|
"http://supermarketpage.com/supermarkets/Buy-Rite-Supermarket-19416.htm | Buy Rite Supermarket"|3|NJ, NY|
"http://supermarketpage.com/supermarkets/Bybee-Foods-LLC-9360.htm | Bybee Foods LLC"|2|WA|
"http://supermarketpage.com/supermarkets/C-R-Super-Market-21066.htm | C & R Super Market"|17|MO|
"http://supermarketpage.com/supermarkets/C-Town-8505.htm | C Town"|106|CT, IL, MA, NJ, NY, OH, PA|
"http://supermarketpage.com/supermarkets/Cal-Maine-Foods-22982.htm | Cal Maine Foods"|20|AR, GA, KY, LA, MS, NC, NM, OH, SC, TX|
"http://supermarketpage.com/supermarkets/Cala-Foods-Inc-7582.htm | Cala Foods Inc"|2|CA|
"http://supermarketpage.com/supermarkets/Calderon-Market-12642.htm | Calderon Market"|2|MA|
"http://supermarketpage.com/supermarkets/California-Creative-Foods-16402.htm | California Creative Foods"|2|CA|
"http://supermarketpage.com/supermarkets/California-Custom-Foods-14707.htm | California Custom Foods"|2||
"http://supermarketpage.com/supermarkets/California-Family-Foods-10147.htm | California Family Foods"|3||
"http://supermarketpage.com/supermarkets/Cardenas-Foods-20233.htm | Cardenas Foods"|14|FL|
"http://supermarketpage.com/supermarkets/Carrolls-Foods-Incorporated-17957.htm | Carrolls Foods Incorporated"|44|IA, NC, VA|
"http://supermarketpage.com/supermarkets/Carters-Supermarket-2322.htm | Carter's Supermarket"|3|IN, LA|
"http://supermarketpage.com/supermarkets/Cash-Wise-Foods-13627.htm | Cash Wise Foods"|10|MN, ND|
"http://supermarketpage.com/supermarkets/Cedar-Food-Market-12019.htm | Cedar Food Market"|8|NJ|
"http://supermarketpage.com/supermarkets/Centurion-Foods-LLC-16955.htm | Centurion Foods LLC"|6|GA|
"http://supermarketpage.com/supermarkets/Ceriello-Fine-Foods-15203.htm | Ceriello Fine Foods"|6|CT, MD, NJ, NY|
"http://supermarketpage.com/supermarkets/Certified-Grocers-of-III-14479.htm | Certified Grocers of III"|5|IL|
"http://supermarketpage.com/supermarkets/Chamberlins-Natural-Foods-20261.htm | Chamberlins Natural Foods"|5|FL|
"http://supermarketpage.com/supermarkets/Chavez-Supermarket-13344.htm | Chavez Supermarket"|8|CA|
"http://supermarketpage.com/supermarkets/Checo-Supermarket-1834.htm | Checo Supermarket"|2|NJ, NY|
"http://supermarketpage.com/supermarkets/Chestertown-Natural-Foods-7329.htm | Chestertown Natural Foods"|3|MD|
"http://supermarketpage.com/supermarkets/Chief-Supermarkets-7752.htm | Chief Supermarkets"|11|OH|
"http://supermarketpage.com/supermarkets/City-Market-4496.htm | City Market"|60|CA, CO, DC, FL, GA, IA, ID, KY, MD, MI, MN, MO, NC, NJ, NM, NY, OR, TN, TX, UT, VA, WA, WI, WY|
"http://supermarketpage.com/supermarkets/Costco-11847.htm | Costco"|662|AK, AL, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI|
